100
100e-6
Tx	Rx	MCS	SNR	BW
8	2	1	71.6	2.23e6
8	2	2	72.8	1.51e6
8	2	3	74.3	1.11e6
8	2	4	75.5	0.76e6
8	2	5	77.4	0.74e6
8	2	6	78.6	0.51e6
8	2	7	80.84	0.56e6
8	2	8	82.04	0.38e6
8	1	1	79.1	2.23e6
8	1	2	80.3	1.51e6
8	1	3	81.8	1.11e6
8	1	4	83.0	0.76e6
8	1	5	84.9	0.74e6
8	1	6	86.1	0.51e6
8	1	7	88.34	0.56e6
8	1	8	89.54	0.38e6
4	2	1	75.8	2.23e6
4	2	2	76.9	1.51e6
4	2	3	78.5	1.11e6
4	2	4	79.6	0.76e6
4	2	5	81.6	0.74e6
4	2	6	82.7	0.51e6
4	2	7	85.04	0.56e6
4	2	8	86.14	0.38e6
4	1	1	88.4	2.23e6
4	1	2	89.6	1.51e6
4	1	3	91.1	1.11e6
4	1	4	92.3	0.76e6
4	1	5	94.2	0.74e6
4	1	6	95.4	0.51e6
4	1	7	97.64	0.56e6
4	1	8	98.84	0.38e6
2	8	1	64.2	2.23e6
2	8	2	64.5	1.51e6
2	8	3	66.9	1.11e6
2	8	4	67.2	0.76e6
2	8	5	70.0	0.74e6
2	8	6	70.3	0.51e6
2	8	7	73.44	0.56e6
2	8	8	73.74	0.38e6
2	4	1	71.7	2.23e6
2	4	2	72.0	1.51e6
2	4	3	74.4	1.11e6
2	4	4	74.7	0.76e6
2	4	5	77.5	0.74e6
2	4	6	77.8	0.51e6
2	4	7	80.94	0.56e6
2	4	8	81.24	0.38e6
1	4	1	81.3	2.23e6
1	4	2	81.7	1.51e6
1	4	3	84.0	1.11e6
1	4	4	84.4	0.76e6
1	4	5	87.1	0.74e6
1	4	6	87.5	0.51e6
1	4	7	90.54	0.56e6
1	4	8	90.94	0.38e6
1	8	1	68.7	2.23e6
1	8	2	69.0	1.51e6
1	8	3	71.4	1.11e6
1	8	4	71.7	0.76e6
1	8	5	74.5	0.74e6
1	8	6	74.8	0.51e6
1	8	7	77.94	0.56e6
1	8	8	78.24	0.38e6
1	1	1	152.4	2.23e6
1	1	2	152.6	1.51e6
1	1	3	155.1	1.11e6
1	1	4	155.3	0.76e6
1	1	5	158.2	0.74e6
1	1	6	158.4	0.51e6
1	1	7	161.84	0.56e6
1	1	8	162.04	0.38e6
2	2	1	84.3	2.23e6
2	2	2	84.7	1.51e6
2	2	3	87.0	1.11e6
2	2	4	87.4	0.76e6
2	2	5	90.0	0.74e6
2	2	6	90.5	0.51e6
2	2	7	93.5	0.56e6
2	2	8	93.9	0.38e6
2	1	1	108.3	2.23e6
2	1	2	108.7	1.51e6
2	1	3	111.0	1.11e6
2	1	4	111.4	0.76e6
2	1	5	114.1	0.74e6
2	1	6	114.5	0.51e6
2	1	7	117.54	0.56e6
2	1	8	117.94	0.38e6
1	2	1	105.3	2.23e6
1	2	2	105.7	1.51e6
1	2	3	108.0	1.11e6
1	2	4	108.4	0.76e6
1	2	5	111.1	0.74e6
1	2	6	111.5	0.51e6
1	2	7	114.54	0.56e6
1	2	8	114.94	0.38e6
